tier,namespace,type,member,wpf_sig
1,System.Windows,DataFormats,EnhancedMetafile,public static readonly string EnhancedMetafile;
1,System.Windows,DataFormats,MetafilePicture,public static readonly string MetafilePicture;
1,System.Windows,DataFormats,Palette,public static readonly string Palette;
1,System.Windows,DataFormats,PenData,public static readonly string PenData;
1,System.Windows,DataFormats,Riff,public static readonly string Riff;
1,System.Windows,DataFormats,SymbolicLink,public static readonly string SymbolicLink;
1,System.Windows,DataFormats,Tiff,public static readonly string Tiff;
1,System.Windows,DataFormats,WaveAudio,public static readonly string WaveAudio;
1,System.Windows,DataObject,CopyingEvent,public static readonly System.Windows.RoutedEvent CopyingEvent;
1,System.Windows,DataObject,PastingEvent,public static readonly System.Windows.RoutedEvent PastingEvent;
1,System.Windows,DataObject,SettingDataEvent,public static readonly System.Windows.RoutedEvent SettingDataEvent;
1,System.Windows,DragDrop,PreviewGiveFeedbackEvent,public static readonly System.Windows.RoutedEvent PreviewGiveFeedbackEvent;
1,System.Windows,DragDrop,PreviewQueryContinueDragEvent,public static readonly System.Windows.RoutedEvent PreviewQueryContinueDragEvent;
1,System.Windows,FrameworkContentElement,BindingGroupProperty,public static readonly System.Windows.DependencyProperty BindingGroupProperty;
1,System.Windows,FrameworkContentElement,ContextMenuClosingEvent,public static readonly System.Windows.RoutedEvent ContextMenuClosingEvent;
1,System.Windows,FrameworkContentElement,ContextMenuOpeningEvent,public static readonly System.Windows.RoutedEvent ContextMenuOpeningEvent;
1,System.Windows,FrameworkContentElement,ContextMenuProperty,public static readonly System.Windows.DependencyProperty ContextMenuProperty;
1,System.Windows,FrameworkContentElement,CursorProperty,public static readonly System.Windows.DependencyProperty CursorProperty;
1,System.Windows,FrameworkContentElement,DataContextProperty,public static readonly System.Windows.DependencyProperty DataContextProperty;
1,System.Windows,FrameworkContentElement,DefaultStyleKeyProperty,protected internal static readonly System.Windows.DependencyProperty DefaultStyleKeyProperty;
1,System.Windows,FrameworkContentElement,FocusVisualStyleProperty,public static readonly System.Windows.DependencyProperty FocusVisualStyleProperty;
1,System.Windows,FrameworkContentElement,ForceCursorProperty,public static readonly System.Windows.DependencyProperty ForceCursorProperty;
